DateTime2,Location,DateTime,Temp,Lat,Long
2013/05/20 12:12:12,Abu,20-05-2013 12:12,26.55483,24.5925,72.7083
2013/06/20 12:12:12,Abu,20-06-2013 12:12,28.42103,24.5925,72.7083
2013/07/20 12:12:12,Abu,20-07-2013 12:12,27.94071,24.5925,72.7083
2013/08/20 12:12:12,Abu,20-08-2013 12:12,27.30614,24.5925,72.7083
2013/09/20 12:12:12,Abu,20-09-2013 12:12,26.52879,24.5925,72.7083
2013/10/20 12:12:12,Abu,20-10-2013 12:12,25.63,24.5925,72.7083
2013/11/20 12:12:12,Abu,20-11-2013 12:12,22.60819,24.5925,72.7083
2013/12/20 12:12:12,Abu,20-12-2013 12:12,19.03505,24.5925,72.7083
2014/01/20 12:12:12,Abu,20-01-2014 12:12,19.28707,24.5925,72.7083
2014/02/20 12:12:12,Abu,20-02-2014 12:12,20.41281,24.5925,72.7083
2014/03/20 12:12:12,Abu,20-03-2014 12:12,21.84883,24.5925,72.7083
2014/04/20 12:12:12,Abu,20-04-2014 12:12,23.66349,24.5925,72.7083
2014/05/20 12:12:12,Abu,20-05-2014 12:12,25.99741,24.5925,72.7083
2014/06/20 12:12:12,Abu,20-06-2014 12:12,29.60859,24.5925,72.7083
2014/07/20 12:12:12,Abu,20-07-2014 12:12,28.51984,24.5925,72.7083
2014/08/20 12:12:12,Abu,20-08-2014 12:12,27.50677,24.5925,72.7083
2014/09/20 12:12:12,Abu,20-09-2014 12:12,26.2721,24.5925,72.7083
2014/10/20 12:12:12,Abu,20-10-2014 12:12,25.38,24.5925,72.7083
2014/11/20 12:12:12,Abu,20-11-2014 12:12,22.96494,24.5925,72.7083
2014/12/20 12:12:12,Abu,20-12-2014 12:12,18.85137,24.5925,72.7083
2015/01/20 12:12:12,Abu,20-01-2015 12:12,19.50239,24.5925,72.7083
2015/02/20 12:12:12,Abu,20-02-2015 12:12,21.29552,24.5925,72.7083
2015/03/20 12:12:12,Abu,20-03-2015 12:12,22.01733,24.5925,72.7083
2015/04/20 12:12:12,Abu,20-04-2015 12:12,23.32054,24.5925,72.7083
2015/05/20 12:12:12,Abu,20-05-2015 12:12,26.33552,24.5925,72.7083
2015/06/20 12:12:12,Abu,20-06-2015 12:12,28.33045,24.5925,72.7083
2015/07/20 12:12:12,Abu,20-07-2015 12:12,28.4792,24.5925,72.7083
2015/08/20 12:12:12,Abu,20-08-2015 12:12,27.72747,24.5925,72.7083
