CATEGORY,FUEL,UTILITY,STATION,STATE,Latitude,Longitude,Name,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
THERMAL,NATURAL GAS,RELIANCE,GOA CCPP (Liq.),GOA,15.3773,73.87,Reliance Energy Limited,48,0,0
THERMAL,COAL,GMDCL,AKRIMOTA LIG TPS,GUJARAT,23.76,68.64,Akrimota Thermal Power Station,250,139,116.78
THERMAL,NATURAL GAS,GIPCL,BARODA CCPP,GUJARAT,22.376,73.1015,GIPCL,160,17,0
THERMAL,COAL,BECL,BHAVNAGAR CFBC TPP,GUJARAT,21.584,72.221,Bhavnagar Energy Company Limited Power Station,250,89,16.15
THERMAL,NATURAL GAS,TOR. POW. (UNOSUGEN),DGEN MEGA CCPP,GUJARAT,21.698,72.629,Torrent Power Limited,1200,0,0
THERMAL,NATURAL GAS,GSECL,DHUVARAN CCPP,GUJARAT,22.234,72.76,Dhuvaran III CCPP,594.72,10,34.11
THERMAL,NATURAL GAS,ESSAR,ESSAR CCPP,GUJARAT,22.303,69.7106,Essar Power Gujrat Limited (EPGL),515,0,0
THERMAL,NATURAL GAS,NTPC Ltd.,GANDHAR CCPP,GUJARAT,21.686,72.583,Coal Based Power Plant,657.39,127,234.98
THERMAL,COAL,GSECL,GANDHI NAGAR TPS,GUJARAT,23.251,72.673,"Vijapur Road, Thermal Power Plant Area",870,273,204.56
THERMAL,NATURAL GAS,GIPCL,GIPCL. GT IMP,GUJARAT,22.376,73.1015,GIPCL,0,14,14.93
THERMAL,NATURAL GAS,GSEGL,HAZIRA CCPP,GUJARAT,21.119,72.6405,Essar Power Hazira Ltd. 270 MW,156.1,12,0
THERMAL,NATURAL GAS,GSEGL,HAZIRA CCPP EXT,GUJARAT,21.174,72.687,NTPC Kawas Power Plant,351,0,0
HYDRO,HYDRO,GSECL,KADANA HPS,GUJARAT,23.305,73.825,Kadana Dam,240,10,23.63
NUCLEAR,NUCLEAR,NPCIL,KAKRAPARA,GUJARAT,21.23,73.35,Kakrapar Atomic Power Station,440,280,0
THERMAL,NATURAL GAS,NTPC Ltd.,KAWAS CCPP,GUJARAT,21.175,72.688,NTPC Kawas Power Plant,656.2,133,180.87
THERMAL,COAL,GSECL,KUTCH LIG. TPS,GUJARAT,23.662,68.784,Kutch Lignite Thermal Power Station,290,156,85.6
THERMAL,COAL,APL,MUNDRA TPS,GUJARAT,22.822,69.548,Adani Power Mundra Limited,4620,2612,2764.29
