CATEGORY,FUEL,UTILITY,STATION,STATE,Latitude,Longitude,Name,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-1 HPS,MADHYA PRADESH,24.0233,81.374,"Sakhi Village, Beohari tehsil",315,90,123.16
HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-II HPS,MADHYA PRADESH,24.1922,81.287,Bansagar Dam,30,9,13.05
HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-III HPS,MADHYA PRADESH,24.187,81.285,Bansagar Hydroelectric Power Plant,60,15,0
HYDRO,HYDRO,MPPGCL,BARGI HPS,MADHYA PRADESH,22.938,79.9208,Hydal Plant Bargi,90,31,32.41
THERMAL,COAL,JPPVL,BINA TPS,MADHYA PRADESH,24.316,78.127,bina thermal power plant,500,212,75.98
THERMAL,COAL,NTPC Ltd.,GADARWARA TPP,MADHYA PRADESH,23.0488,78.7802,NTPC Powerplant Gadarwara,0,0,0
HYDRO,HYDRO,MPPGCL,GANDHI SAGAR HPS,MADHYA PRADESH,27.70016,75.552,Gandhi Sagar Hydroelectric power station,115,36,68.78
HYDRO,HYDRO,NHDC,INDIRA SAGAR HPS,MADHYA PRADESH,22.283,76.471,Indira Sagar Dam (Punasa Dam),1000,230,263.6
HYDRO,HYDRO,MPPGCL,MADHIKHERA HPS,MADHYA PRADESH,25.562,77.835,Atal Sagar Power Plant(Madikheda Hydroelectric power generation plant) MPPGCL,60,7,8.96
THERMAL,COAL,ESSARPMPL,MAHAN TPP,MADHYA PRADESH,24.007,82.417,Essar Power MP Limited,600,0,317.45
HYDRO,HYDRO,SMHPCL,MAHESHWAR HPS,MADHYA PRADESH,22.163,75.381,Maheshwar Hydel Project,0,0,0
THERMAL,COAL,JPPVL,NIGRI TPP,MADHYA PRADESH,24.1502,81.905,Jaypee Nigrie Thermal Power Plant,1320,510,640.18
THERMAL,COAL,BLAPPL,NIWARI TPP,MADHYA PRADESH,22.958,78.7322,BLA Power Pvt Ltd,45,10,22.64
HYDRO,HYDRO,NHDC,OMKARESHWAR HPS,MADHYA PRADESH,22.143,76.946,Omkareshwar Dam,520,110,110.33
HYDRO,HYDRO,MPPGCL,PENCH HPS,MADHYA PRADESH,21.481,79.208,Pench (Totladoh) Hydroelectric Power Plant India,160,25,33.69
HYDRO,HYDRO,MPPGCL,RAJGHAT TPS,MADHYA PRADESH,28.637,77.255,Rajghat Thermal Power Plant ,45,10,12.62
THERMAL,COAL,MPPGCL,SANJAY GANDHI TPS,MADHYA PRADESH,23.307,81.0658,Sanjay Gandhi Thermal Power Plant,1340,618,705.3
THERMAL,COAL,SPL,SASAN UMTPP,MADHYA PRADESH,23.978,82.626,Reliance Sasan Ultra Mega Power,3960,2790,2768.09
THERMAL,COAL,MPPGCL,SATPURA TPS,MADHYA PRADESH,22.107,78.17487,Satpura Thermal Power Station,1330,487,370.66
THERMAL,COAL,JHAPL,SEIONI TPP,MADHYA PRADESH,22.737,79.9107,"habua Power Limited, APIL",600,172,0
THERMAL,COAL,MPPGCL,SHRI SINGHAJI TPP,MADHYA PRADESH,22.1004,76.5318,Shree Singaji Thermal Power Project,1200,581,433.02
THERMAL,COAL,NTPC Ltd.,VINDHYACHAL STPS,MADHYA PRADESH,24.0959,82.671,Vindhyachal Super Thermal Power Station,4760,2601,2805.8
THERMAL,COAL,RattanIndia,AMARAVATI TPS,MAHARASHTRA,21.0789,77.901,RattanIndia Power Limited,1350,641,0
THERMAL,COAL,IEPL,BELA TPS,MAHARASHTRA,20.8103,79.056,"Ideal Energy Projects Ltd, Power Ltd.",270,0,0
HYDRO,HYDRO,DLHP,BHANDARDHARA HPS ST-II,MAHARASHTRA,19.325,73.4526,Bhandardara Dam,34,10,5.14
HYDRO,HYDRO,TATA MAH.,BHIRA HPS,MAHARASHTRA,18.454,73.391,Bhira Power Plant,150,75,37.35
HYDRO,HYDRO,TATA MAH.,BHIRA PSS HPS,MAHARASHTRA,18.454,73.391,BHIRA PSS Hydro Power Plant,150,0,54.29
HYDRO,HYDRO,MAHAGENCO,BHIRA TAIL RACE HPS,MAHARASHTRA,18.442,73.349,Bhira Tail Race Hydroelectric Power Plant India,80,6,9.01
HYDRO,HYDRO,TATA MAH.,BHIVPURI HPS,MAHARASHTRA,18.936,73.4527,Bhivpuri Hydroelectric Power Plant India,75,33,32.17
THERMAL,COAL,MAHAGENCO,BHUSAWAL TPS,MAHARASHTRA,21.048,75.841,2 * 210 MW - Bhusawal Thermal Power Station,1420,760,609.91
THERMAL,COAL,VIP,BUTIBORI TPP,MAHARASHTRA,20.925,78.932,Reliance Power Plant,600,334,196.19
THERMAL,COAL,MAHAGENCO,CHANDRAPUR(MAHARASHTRA) STPS,MAHARASHTRA,20.002,79.293,Chandrapur Super Thermal Power Station,2920,1477,1483.54
THERMAL,COAL,RIL (DAHANU),DAHANU TPS,MAHARASHTRA,19.967,72.743,Adani Dahanu Thermal Power Station,500,221,323.7
THERMAL,COAL,DIPL,DHARIWAL TPP,MAHARASHTRA,20.013,79.199,Dhariwal Infrastructure Limited,600,93,137.55
THERMAL,COAL,EEL,EMCO WARORA TPS,MAHARASHTRA,20.279,78.976,GMR Warora Energy Limited,600,332,373.19
THERMAL,COAL,GEPL,GEPL TPP Ph-I,MAHARASHTRA,19.929,79.1333,Gupta Energy Pvt Ltd,120,0,0
HYDRO,HYDRO,MAHAGENCO,GHATGHAR PSS HPS,MAHARASHTRA,19.532,73.6498,Ghatghar Hydro Power Station,250,36,61.63
THERMAL,COAL,JSWEL,JSW RATNAGIRI TPP,MAHARASHTRA,17.296,73.212,JSW Energy Ltd,1200,729,284.75
THERMAL,COAL,MAHAGENCO,KHAPARKHEDA TPS,MAHARASHTRA,21.278,79.115,Khaparkheda Thermal Power Station,1340,665,765.37
HYDRO,HYDRO,TATA MAH.,KHOPOLI HPS,MAHARASHTRA,18.782,73.354,Tata Power Khopoli,72,22,36.72
THERMAL,COAL,MAHAGENCO,KORADI TPS,MAHARASHTRA,21.238,79.093,Koradi Super Thermal Power Station,2600,1041,627.84
HYDRO,HYDRO,MAHAGENCO,KOYNA DPH HPS,MAHARASHTRA,17.401,74.749,Koyna Hydroelectric Power Plant,36,5,14.28
HYDRO,HYDRO,MAHAGENCO,KOYNA-I HPS,MAHARASHTRA,17.4001,73.749,Koyna Hydroelectric Power Plant,280,70,57.92
HYDRO,HYDRO,MAHAGENCO,KOYNA-II HPS,MAHARASHTRA,17.401,73.751,Koyna Hydroelectric Power Plant,320,0,60.77
HYDRO,HYDRO,MAHAGENCO,KOYNA-III HPS,MAHARASHTRA,17.401,73.753,Koyna Hydroelectric Power Plant,320,46,62.04
HYDRO,HYDRO,MAHAGENCO,KOYNA-IV HPS,MAHARASHTRA,17.401,73.751,Koyna Hydroelectric Power Plant,1000,150,171.23
THERMAL,COAL,LVTPL,LANCO VIDARBHA TPP,MAHARASHTRA,20.822,78.4878,Lanco Vidarbha Thermal Power Plant,0,0,0
THERMAL,NATURAL GAS,PGPL,MANGAON CCPP,MAHARASHTRA,18.408,73.362,Pioneer Gas Power Ltd.,388,0,23.96
THERMAL,COAL,NTPC Ltd.,MAUDA TPS,MAHARASHTRA,21.176,79.395,Mauda Super Thermal Power Station,1660,268,407.9
THERMAL,COAL,AMNEPL,MIHAN TPS,MAHARASHTRA,21.036,78.933,Abhijeet Mihan Coal Power Plant,246,0,0
THERMAL,COAL,RattanIndia,NASIK (P) TPS,MAHARASHTRA,19.981,73.892,Nashik Thermal Power Station,270,0,0
THERMAL,COAL,MAHAGENCO,NASIK TPS,MAHARASHTRA,19.9806,73.892,Nashik Thermal Power Station,630,344,259.2
THERMAL,COAL,MAHAGENCO,PARAS TPS,MAHARASHTRA,20.717,76.796,Paras Thermal Power Station,500,280,155.78
THERMAL,COAL,MAHAGENCO,PARLI TPS,MAHARASHTRA,18.867,76.524,MSPGCL Parali Thermal Power Plant,1170,0,307.48
THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP I,MAHARASHTRA,17.559,73.165,Anjanwel,740,0,0
THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP II,MAHARASHTRA,17.559,73.166,Ratnagiri Gas Power Pvt Ltd (RGPPL),740,0,270.05
THERMAL,NATURAL GAS,RGPPL,RATNAGIRI CCPP III,MAHARASHTRA,17.334,73.094,Ratnagiri Gas and Power,740,255,113.11
THERMAL,COAL,NTPC Ltd.,SOLAPUR,MAHARASHTRA,17.551,75.983,Solapur Super Thermal Power Station,0,0,0
NUCLEAR,NUCLEAR,NPCIL,TARAPUR,MAHARASHTRA,19.8309,72.661,Tarapur Atomic Power Station,1400,540,1038.48
HYDRO,HYDRO,MAHAGENCO,TILLARI HPS,MAHARASHTRA,15.7605,74.088,Tilari Project,60,10,12.84
THERMAL,COAL,APL,TIRORA TPS,MAHARASHTRA,21.413,79.968,Adani 5x660MW Power Plant Tiroda,3300,1776,1470.21
THERMAL,NATURAL GAS,TATA PCL,TROMBAY CCPP,MAHARASHTRA,19.002,72.898,Tata Power Trombay Thermal Plant,180,77,97.55
THERMAL,COAL,TATA PCL,TROMBAY TPS,MAHARASHTRA,19.0026,72.898,Tata Power Trombay Thermal Plant,1400,252,191.03
THERMAL,NATURAL GAS,MAHAGENCO,URAN CCPP,MAHARASHTRA,18.881,72.9703,Maharashtra State Power Generation Company Limited,672,211,259.02
HYDRO,HYDRO,MAHAGENCO,VAITARNA HPS,MAHARASHTRA,19.767,73.502,Vaitarna Hydroelectric Power Plant India,60,27,23.17
THERMAL,COAL,WPCL,WARDHA WARORA TPP,MAHARASHTRA,20.271,78.981,Wardha Power Company Limited,540,184,117.75
THERMAL,DIESEL,"ED, Manipur",LEIMAKHONG DG,MANIPUR,24.94003,93.839,Leimakhong Oil Power Plant,36,0,0
HYDRO,HYDRO,NHPC,LOKTAK HPS.,MANIPUR,24.5805,93.737,Loktak Power Station,105,37,59.05
HYDRO,HYDRO,NEEPCO.,KHONDONG HPS.,MEGHALAYA,27.2093,88.6654,Gati Hydro Electric Power House,50,3,9.92
HYDRO,HYDRO,MeECL,KYRDEMKULAI HPS.,MEGHALAYA,25.784,91.789,Kyrdemkulai Hydroelectric Power Plant India,60,9,5.93
HYDRO,HYDRO,MeECL,MYNTDU(LESHKA) St-1 HPS,MEGHALAYA,25.262,92.2002,Damsite Of Myntdu Leshka H E Project,126,5,4.02
HYDRO,HYDRO,MeECL,NEW UMTRU HPS,MEGHALAYA,26.012,91.823,"11.2 MW Umtru Power House, MePGCL",0,6,0
HYDRO,HYDRO,MeECL,UMIAM HPS ST-I,MEGHALAYA,25.659,91.9003,Umiam I Hydroelectric Power Plant,36,8,4.5
HYDRO,HYDRO,MeECL,UMIAM HPS ST-IV,MEGHALAYA,25.659,91.9004,Umiam I Hydroelectric Power Plant,60,12,5.84
HYDRO,HYDRO,NEEPCO.,TUIRIAL HPS,MIZORAM,24.212,92.5309,Tuirial Dam,0,0,0
HYDRO,HYDRO,NEEPCO.,DOYANG HPS.,NAGALAND,26.231,94.531,Doyang Hydro Electric Project,75,4,6.41
HYDRO,HYDRO,OHPC,BALIMELA HPS.,ORISSA,18.207,82.0606,Balimela Power House,510,74,79.49
THERMAL,COAL,JITPL,DERANG TPP,ORISSA,21.126,84.985,Angul Jindal India Thermal Power Limited,1200,468,376.93
HYDRO,HYDRO,OHPC,HIRAKUD HPS,ORISSA,21.529,83.908,Hirakud Captive Power Plant,347.5,44,25.88
THERMAL,COAL,OPGC,IB VALLEY TPS,ORISSA,21.6908,83.8623,Ib Thermal Power Stati,420,288,304.72
THERMAL,COAL,ICCL,ICCL (IMFA) IMP,ORISSA,20.533,85.908,IMFA Thermal Power Plant,0,25,33.78
THERMAL,COAL,GMR ENERG,KAMALANGA TPS,ORISSA,20.863,85.269,GMR Kamalanga Energy Limited,1050,560,434.45
THERMAL,COAL,LBPL,LANCO BABANDH TPP,ORISSA,20.826,85.295,Lanco Babandh Power Project,0,0,0
HYDRO,HYDRO,OHPC,MACHKUND HPS,ORISSA,18.508,82.4409,Machkund Hydroelectric Project,114.75,42,68.98
THERMAL,COAL,NALCO,NALCO IMP,ORISSA,20.854,85.1906,Captive Power Plant,0,21,30
HYDRO,HYDRO,OHPC,RENGALI HPS.,ORISSA,21.275,85.035,Rengali Dam,250,19,13.19
THERMAL,COAL,SEL,STERLITE TPP,ORISSA,21.816,84.042,Vedanta Limited,2400,741,621.69
THERMAL,COAL,NTPC Ltd.,TALCHER (OLD) TPS,ORISSA,20.9107,85.207,"INSURANCE(LIC,ORIENTAL)",460,307,326.34
THERMAL,COAL,NTPC Ltd.,TALCHER STPS,ORISSA,20.9105,85.2103,"INSURANCE(LIC,ORIENTAL)",3000,1993,2127.89
HYDRO,HYDRO,OHPC,UPPER INDRAVATI HPS.,ORISSA,19.426,82.859,Upper Indravati Hydroelectric Power Project,600,149,102.64
HYDRO,HYDRO,OHPC,UPPER KOLAB HPS.,ORISSA,18.788,82.599,Kolab Dam,320,46,42.4
THERMAL,COAL,IBPIL,UTKAL TPP(IND BARATH),ORISSA,21.671,83.924,Ind Bharat Energy Utkal Limitrd,350,257,0
THERMAL,NATURAL GAS,"P&ED, Pudu.",KARAIKAL CCPP,PUDUCHERRY,10.9325,79.821,Karaikal Gas CCGT India,32.5,21,21.61
HYDRO,HYDRO,PSPCL,ANANDPUR SAHIB HPS,PUNJAB,31.271,76.493,Anandpur Sahib Hydroelectric Power Stations India,134,45,42.56
HYDRO,HYDRO,BBMB,BHAKRA H P S,PUNJAB,31.411,76.433,Bhakhra Dam,1325,334,324.77
HYDRO,HYDRO,BBMB,DEHAR H P S,PUNJAB,31.413,76.868,Dehar Power House,990,91,95.42
HYDRO,HYDRO,BBMB,GANGUWAL HPS,PUNJAB,31.271,76.493,Ganguwal Power House II,77.65,39,36.67
THERMAL,COAL,PSPCL,GH TPS (LEH.MOH.),PUNJAB,30.258,75.169,Guru Hargobind Thermal Plant,920,336,174.51
THERMAL,COAL,PSPCL,GND TPS(BHATINDA),PUNJAB,30.234,74.927,"Guru Nanak Dev Thermal Plant, Bathinda",440,72,0
THERMAL,COAL,GPGSL (GVK),GOINDWAL SAHIB TPP,PUNJAB,31.380002,75.1515,Goindwal Sahib Power Project,540,121,0
HYDRO,HYDRO,BBMB,KOTLA HPS,PUNJAB,31.213,76.548,Kotla Power House,77.65,38,39.12
HYDRO,HYDRO,PSPCL,MUKERIAN HPS,PUNJAB,31.955,75.836,Mukerian Hydroelectric Power Station India,207,102,114.54
HYDRO,HYDRO,BBMB,PONG H P S,PUNJAB,31.966,75.946,Pong Dam Hydroelectric Power Station India,396,67,124.82
THERMAL,COAL,NPL,RAJPURA TPP,PUNJAB,30.559,76.578,Rajpura Thermal Power Station,1400,660,816.33
HYDRO,HYDRO,PSPCL,RANJIT SAGAR HPS,PUNJAB,32.4435,75.7339,Ranjit Sagar Dam Lake,600,90,58.76
THERMAL,COAL,PSPCL,ROPAR TPS,PUNJAB,31.035,76.575,Guru Gobind Singh Super Thermal Power Plant,1260,318,28.08
HYDRO,HYDRO,PSPCL,SHANAN HPS,PUNJAB,31.989,76.807,Shanan Power House,110,12,12.55
THERMAL,COAL,TSPL,TALWANDI SABO TPP,PUNJAB,29.924,75.238,Talwandi Sabo Power Limited (TSPL),1980,631,639.58
THERMAL,NATURAL GAS,NTPC Ltd.,ANTA CCPP,RAJASTHAN,25.1796,76.3207,Anta Gas Power Station,419.33,99,0
THERMAL,COAL,NLC,BARSINGSAR LIGNITE,RAJASTHAN,27.843,73.199,Barsingsar Thermal Power Station,250,150,171.97
THERMAL,COAL,RRVUNL,CHHABRA TPP,RAJASTHAN,24.6204,77.03606,Chhabra Thermal Power Plant,1000,432,613.49
NUCLEAR,NUCLEAR,DAE,DAE (RAJASTHAN),RAJASTHAN,24.869,75.6309,Rajasthan Atomic Power Station,100,0,0
THERMAL,NATURAL GAS,RRVUNL,DHOLPUR CCPP,RAJASTHAN,26.7024,77.848,Dholpur Thermal Power Station,330,33,0
THERMAL,COAL,RRVUNL,GIRAL TPS,RAJASTHAN,26.043,71.254,Giral Lignite Power Plant,250,37,0
THERMAL,COAL,RWPL (JSW),JALIPA KAPURDI TPP,RAJASTHAN,25.9012,71.327,JSW Energy (Barmer) Limited,1080,700,592.41
HYDRO,HYDRO,RRVUNL,JAWAHAR SAGAR HPS,RAJASTHAN,25.036,75.678,Jawahar Sagar Dam Hydroelectric Power Plant,99,31,46.2
THERMAL,COAL,RRVUNL,KALISINDH TPS,RAJASTHAN,24.536,76.098,KaliSindh Super Thermal Power Station,1200,576,738.14
THERMAL,COAL,APL,KAWAI TPS,RAJASTHAN,24.776,76.7382,Adani Power Rajasthan Ltd.,1320,763,616.99
THERMAL,COAL,RRVUNL,KOTA TPS,RAJASTHAN,25.1722,75.8189,Kota Super Thermal Power Station,1240,720,688.3
HYDRO,HYDRO,RRVUNL,MAHI BAJAJ HPS,RAJASTHAN,23.626,74.544,Mahi Bajaj Sagar Dam,140,23,24.99
HYDRO,HYDRO,RRVUNL,R P SAGAR HPS,RAJASTHAN,24.917,75.581,RanaPratap Sagar Dam,172,60,72.5
NUCLEAR,NUCLEAR,NPCIL,RAJASTHAN A.P.S.,RAJASTHAN,24.8751,75.617,Rajasthan Atomic Power Station,1080,682,684.54
THERMAL,NATURAL GAS,RRVUNL,RAMGARH CCPP,RAJASTHAN,27.335,70.536,Ramgarh Gas Thermal Power station,273.8,144,114.14
THERMAL,COAL,RRVUNL,SURATGARH TPS,RAJASTHAN,29.1816,74.0213,Suratgarh Super Thermal Power Plant,1500,553,167.08
HYDRO,HYDRO,GISL,CHUZACHEN HPS,SIKKIM,27.2092,88.6656,Gati Hydro Electric Power House,99,12,10.65
HYDRO,HYDRO,DEPL,JORETHANG LOOP,SIKKIM,27.159,88.292,Jorethang Loop Hydroelectric project,96,10,12.46
HYDRO,HYDRO,NHPC,RANGIT HPS,SIKKIM,27.294,88.292,Rangit Dam,60,14,14.94
HYDRO,HYDRO,DEPL,TASHIDING HPS,SIKKIM,27.312,88.2803,Tashiding HEP,0,10,0
HYDRO,HYDRO,NHPC,TEESTA V HPS,SIKKIM,27.251,88.459,Teesta Power Station-V,510,65,83.91
HYDRO,HYDRO,TUL,TEESTA-III HPS,SIKKIM,27.0018,88.4432,Teesta Low Dam Hydro Electric Project Stage III,400,154,9.42
HYDRO,HYDRO,TNGDCL,ALIYAR HPS.,TAMIL NADU,10.4544,77.0072,ALIYAR POWER HOUSE,60,9,1.83
THERMAL,DIESEL,VASAVI,B. BRIDGE D.G,TAMIL NADU,17.412,78.459,Vasavi Power Services Private Limited,200,0,0
THERMAL,NATURAL GAS,TNGDCL,BASIN BRIDGE GT (Liq.),TAMIL NADU,13.0987,80.269,Basin Bridge Gas Turbine Power Station,120,0,0
HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGE III HPS,TAMIL NADU,11.383,77.713,Bhavani Kattalai Barrage I Hydel Power Project,30,2,0
HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGE-II HPS,TAMIL NADU,11.393,77.7064,BHAWANI BARRAGE-II HPS,30,8,0
HYDRO,HYDRO,TNGDCL,BHAWANI KATTAL HPS,TAMIL NADU,11.4704,77.1143,Bhavanisagar Water Reservoir and Dam,30,8,0.08
THERMAL,COAL,TNGDCL,ENNORE TPS,TAMIL NADU,13.202,80.3112,Ennore Thermal Power Station,450,34,0
THERMAL,COAL,ITPCL,ITPCL TPP,TAMIL NADU,11.518,79.7501,ITPCL,1200,154,680.58
HYDRO,HYDRO,TNGDCL,KADAMPARI HPS.,TAMIL NADU,10.4101,77.0429,Kadamparai Hydro electric power plant,400,30,21.85
THERMAL,NATURAL GAS,ABAN POWR,KARUPPUR CCPP,TAMIL NADU,11.121,79.528,Aban Power Company Limited,119.8,46,41.66
HYDRO,HYDRO,TNGDCL,KODAYAR HPS.,TAMIL NADU,8.529,77.312,Lower Kodayar Dam Hydro Power Station,100,26,11.33
THERMAL,NATURAL GAS,TNGDCL,KOVIKALPAL CCPP,TAMIL NADU,10.541,79.449,TNEB Power Plant,107.88,33,24.68
NUCLEAR,NUCLEAR,NPCIL,KUDANKULAM,TAMIL NADU,8.168,77.7116,Kudankulam Nuclear Power Plant,1000,813,0
HYDRO,HYDRO,TNGDCL,KUNDAH HPS.,TAMIL NADU,11.3641,76.604,Kundah Power House 6,555,105,43.03
THERMAL,NATURAL GAS,TNGDCL,KUTTALAM CCPP,TAMIL NADU,11.0339,79.583,Kuttalam Gas Turbine Power Station,100,48,36.68
HYDRO,HYDRO,TNGDCL,LOWER METTUR HPS.,TAMIL NADU,11.797,77.8106,LOWER METTUR HPS.,120,33,1.03
NUCLEAR,NUCLEAR,NPCIL,MADRAS A.P.S.,TAMIL NADU,12.5571,80.1751,Madras Atomic Power Station,440,273,306.79
HYDRO,HYDRO,TNGDCL,METTUR DAM HPS.,TAMIL NADU,11.800612,77.8098,Mettur Dam,50,7,1.28
THERMAL,COAL,TNGDCL,METTUR TPS,TAMIL NADU,11.777,77.826,Mettur Thermal Power Plant & Expansion,1440,869,769.46
HYDRO,HYDRO,TNGDCL,METTUR TUNNEL HPS.,TAMIL NADU,11.797,77.8101,Mettur Hydro Power Plant,200,36,0
HYDRO,HYDRO,TNGDCL,MOYAR HPS,TAMIL NADU,11.6138,76.692,Moyar Power Plant,36,10,2.61
THERMAL,COAL,CEPL,MUTHIARA TPP,TAMIL NADU,8.913,78.1442,Mutiara Thermal Power Plant,1200,238,212.2
THERMAL,COAL,NLC,NEYVELI ( EXT) TPS,TAMIL NADU,11.592,79.475,Thermal Power Station 1 Nayveli,420,282,290.01
THERMAL,LIGNITE,NLC,NEYVELI NEW TPP,TAMIL NADU,11.592,79.454,Neyveli New Thermal Power Station,0,0,0
THERMAL,COAL,NLC,NEYVELI TPS- I,TAMIL NADU,11.353,79.28,Neyveli Thermal Power Station,600,372,340.28
THERMAL,COAL,NLC,NEYVELI TPS-II,TAMIL NADU,11.591,79.453,Neyveli New Thermal Power Station,1470,912,947.91
THERMAL,COAL,NLC,NEYVELI TPS-II EXP,TAMIL NADU,11.547,79.443,Thermal Power Station 2 Expansion,500,304,164.21
THERMAL,COAL,ST-CMSECP,NEYVELI TPS(Z),TAMIL NADU,11.5909,79.453,Neyveli New Thermal Power Station,250,158,86.26
THERMAL,COAL,TNGDCL,NORTH CHENNAI TPS,TAMIL NADU,13.246,80.3198,North Chennai Thermal Power Station,1830,996,773.36
THERMAL,NATURAL GAS,PPNPGCL,P.NALLUR CCPP,TAMIL NADU,13.142,80.182,Vallur Thermal Power Station,330.5,4,0
HYDRO,HYDRO,TNGDCL,PAPANASAM HPS.,TAMIL NADU,8.705,77.361,Papanasam Lower Hydroelectric,32,10,2.19
HYDRO,HYDRO,TNGDCL,PARSON`S VALLEY HPS.,TAMIL NADU,11.393,76.599,PARSON`S VALLEY HPS.,30,4,1.42
HYDRO,HYDRO,TNGDCL,PERIYAR HPS.,TAMIL NADU,9.961,76.958,Lower Periyar Dam,161,45,0
HYDRO,HYDRO,TNGDCL,PYKARA HPS.,TAMIL NADU,11.533,76.6012,Pykara (Singara) Hydroelectric Power House,59.2,6,0
HYDRO,HYDRO,TNGDCL,PYKARA ULTMATE HPS.,TAMIL NADU,11.462,76.603,Pykara Dam & Power House,150,24,9.14
THERMAL,DIESEL,SAMALPATI,SAMALPATTI DG,TAMIL NADU,12.2993,78.4033,Samalpatti Power Company (P) Ltd,105.7,3,0
THERMAL,DIESEL,MADURAI P,SAMAYANALLUR DG,TAMIL NADU,9.974,78.0455,Samayanallur Thermal Plant,106.001,2,0
HYDRO,HYDRO,TNGDCL,SARKARPATHY HPS.,TAMIL NADU,10.463,76.856,Sarkarpathy Power House,30,15,3.12
HYDRO,HYDRO,TNGDCL,SHOLAYAR HPS.,TAMIL NADU,10.355,76.8807,Sholayar I Hydroelectric Power House,95,10,0
HYDRO,HYDRO,TNGDCL,SURULIYAR HPS.,TAMIL NADU,9.622,77.272,Suruliyar Hydroelectric Power Plant,35,10,1.67
THERMAL,COAL,NTPL,TUTICORIN (JV) TPP,TAMIL NADU,8.762,78.175,Tuticorin Thermal Power Station,1000,630,573.34
THERMAL,COAL,IBPIL,TUTICORIN (P) TPP,TAMIL NADU,8.761,78.176,Tuticorin Thermal Power Station,300,64,0
THERMAL,COAL,TNGDCL,TUTICORIN TPS,TAMIL NADU,8.758,78.182,NLC Tamilnadu Thermal Power Plant,1050,564,505.66
THERMAL,NATURAL GAS,PENNA,VALANTARVY CCPP,TAMIL NADU,9.348,78.923,Valuthur Gas Combined Cycle Power Station,52.8,0,30
THERMAL,COAL,NTECL,VALLUR TPP,TAMIL NADU,13.235,80.305,NTPC Tamilnadu Energy,1500,771,880.32
THERMAL,NATURAL GAS,TNGDCL,VALUTHUR CCPP,TAMIL NADU,9.349,78.923,Valuthur Gas Turbine Power Plant,186.2,68,108.19
THERMAL,COAL,TSGENCO,KAKATIYA TPS,TELANGANA,18.384,79.827,Kakatiya Thermal Power Station,1100,614,677.2
THERMAL,COAL,TSGENCO,KOTHAGUDEM TPS,TELANGANA,17.60994,80.69815,Kothagudem Thermal Power Station,720,388,305.46
THERMAL,COAL,TSGENCO,KOTHAGUDEM TPS (NEW),TELANGANA,19.6221,80.6981,Kothagudem Thermal Power Station Stage V & VI,1000,590,572.31
HYDRO,HYDRO,TSGENCO,LOWER JURALA HPS,TELANGANA,16.3125,77.7774,Lower Jurala Hydro Electric Project,240,5,0.11
HYDRO,HYDRO,TSGENCO,LOWER SILERU HPS,TELANGANA,17.863,81.697,"Forebay Dam, Lower Sileru",460,104,103.28
HYDRO,HYDRO,TSGENCO,NAGARJUN SGR HPS,TELANGANA,16.575,79.3117,Nagarjuna Sagar Dam,815.6,79,33.13
HYDRO,HYDRO,TSGENCO,NAGARJUN SGR LBC HPS,TELANGANA,16.569,79.309,Nagarjuna Sagar Dam,60,5,0
HYDRO,HYDRO,TSGENCO,POCHAMPAD HPS,TELANGANA,18.2024,77.9229,Nizam Sagar,27,8,14.48
HYDRO,HYDRO,TSGENCO,PRIYADARSHNI JURALA HPS,TELANGANA,16.3384,77.7052,Jurala Project,234,0,0
HYDRO,HYDRO,TSGENCO,PULICHINTALA HPS,TELANGANA,16.7732,80.0527,Pulichintla hydro power house,30,2,0
THERMAL,COAL,TSGENCO,RAMAGUNDEM - B TPS,TELANGANA,18.758,79.458,NTPC Ramagundam Thermal Power Plant,62.5,27,40.84
THERMAL,COAL,NTPC Ltd.,RAMAGUNDEM STPS,TELANGANA,18.7477,79.4667,NTPC Ramagundam Thermal Power Plant,2600,1781,1748.03
THERMAL,COAL,SCCL,SINGARENI TPP,TELANGANA,18.8414,79.5728,Singareni Thermal Power Project,1200,307,726.22
HYDRO,HYDRO,TSGENCO,SRISAILAM LB HPS,TELANGANA,16.0872,78.896,Srisailam Reservoir,900,66,66.3
THERMAL,NATURAL GAS,NEEPCO.,AGARTALA GT,TRIPURA,23.8702,91.3605,NEEPCO AGTCCPP,135,82,82.56
THERMAL,NATURAL GAS,TSECL,BARAMURA GT,TRIPURA,23.8068,91.563,Baramura Gas Thermal Power Plant,58.5,25,15.91
THERMAL,NATURAL GAS,NEEPCO.,MONARCHAK CCPP,TRIPURA,23.438,91.2744,Monarchak Thermal Powerplant,101,43,27.54
THERMAL,NATURAL GAS,TSECL,ROKHIA GT,TRIPURA,23.626,91.1956,Rokhia Gas Thermal Power Station,111,34,41.86
THERMAL,NATURAL GAS,ONGC,TRIPURA CCPP,TRIPURA,23.8627,91.28264,Tripura Natural Gas Company Limited,726.6,341,296.44
